Name,Preis,Text,Quelle
"Radeon RX 550 Grafikkarte, 4GB, GDDR5, 128-Bit, DisplayPort ...",124.02,"124,02 €",amazon.de
"QTHREE GeForce 210 Grafikkarte, 1024 MB, DDR3, 64 Bits, HDMI...",46.38,"46,38 €",amazon.de
MSI GeForce RTX 5060 8G Shadow 2X OC - 8GB GDDR7 (28Gbps/128...,321.68,"321,68 €",amazon.de
ASUS Prime GeForce RTX 5060 8GB GDDR7 OC Edition Gaming Graf...,360.01,"360,01 €",amazon.de
ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6 Gaming Grafi...,,Kein Preis,amazon.de
"Sapphire Technology Pulse AMD Radeon RX 9060 XT Gaming OC, 1...",456.71,"456,71 €",amazon.de
ASUS Prime Radeon RX 9070 XT OC Edition 16GB GDDR6 Gaming Gr...,755.29,"755,29 €",amazon.de
"QTHREE GT 730 Grafikkarte, 4GB DDR3 128 Bits, Dual HDMI, VGA...",76.63,"76,63 €",amazon.de
"Goshyda GTX 550Ti Grafikkarte, 8GB GDDR5 128Bit Computer PC ...",88.2,"88,20 €",amazon.de
Gigabyte Radeon RX 9060 XT Gaming OC 16G Grafikkarte - 16GB ...,451.32,"451,32 €",amazon.de
ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition Gaming Grafi...,,Kein Preis,amazon.de
Sapphire Pulse AMD Radeon™ RX 9070 XT Gaming 16GB DUAL HDMI/...,752.26,"752,26 €",amazon.de
ASRock Intel Arc B580 90-GA5LZZ-00UANF,,Kein Preis,amazon.de
"QTHREE Radeon HD 6570 1GB DDR3 2X HDMI Grafikkarte, Low Prof...",63.5,"63,50 €",amazon.de
"VBESTLIFE Radeon HD7670 Grafikkarte, 4 GB GDDR5 128 Bit 1000...",,Kein Preis,amazon.de
Gigabyte GeForce RTX 5080 Gaming OC 16G Grafikkarte - 16GB G...,1451.09,"1.451,09 €",amazon.de
ASUS GT730-4H-SL-2GD5 NVIDIA GeForce GT 730 2 GB GDDR5 (GPU ...,84.9,"84,90 €",amazon.de
Sapphire Nitro+ AMD Radeon RX 9070 XT OC 16 GB Grafikkarte 1...,809.65,"809,65 €",amazon.de
ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB GDDR6 (PCIe 4....,,Kein Preis,amazon.de
maxsun AMD Radeon RX 580 8GB 2048SP GDDR5 Computer Video Gra...,161.34,"161,34 €",amazon.de
ASUS GeForce RTX 3050 LP BRK OC Edition 6GB GDDR6 (IP5X Stau...,207.59,"207,59 €",amazon.de
Gigabyte GeForce RTX 5060 Gaming OC 8G Grafikkarte - 8GB GDD...,,Kein Preis,amazon.de
